id,sigma_N_per_m,mu_Pa_s,rho_kg_per_m3,Dn_mm,outcome,R_m,R_std_m,Vi_m_per_s,Vi_std_m_per_s,Vo_m_per_s,Vo_std_m_per_s,ho_m,cor,We,Bo,Oh,cor_from_velocities
152,0.0187,0.00174,870,0.6,b,0.00031641102906841543,9.023011098063065e-07,0.6159104112236957,0.00017322949075107306,0.16610354125365248,2.992253122595853e-05,0.00035328123928196826,0.27320043140426986,5.584243534281254,0.04569302177975432,0.024251746060989628,0.2696878283379504
153,0.0187,0.00174,870,0.6,b,0.0003179750170130709,1.1119502923164219e-06,0.16418581636547955,1.425182384676105e-05,0.04000681595765042,6.306107433103128e-06,0.0003197776948013129,0.24634546937234236,0.3987878506168875,0.046145850200270365,0.02419203037372698,0.24366791750509542
154,0.0187,0.00174,870,0.6,b,0.00031698738813496364,1.0591957116985273e-06,0.6145235566343129,0.00020366922624327137,0.16620835161092526,8.062718252905028e-05,0.00036582440450602866,0.27511761373872745,5.569249831350463,0.04585963779991084,0.024229688285606746,0.27046701435048737
155,0.0187,0.00174,870,0.6,b,0.0003172834655396236,1.3102316208589307e-06,0.15958964039694315,1.5900486830280245e-05,0.03921906311437027,1.0171727783427942e-05,0.00031821616186971925,0.24720697267537828,0.3759537999700215,0.04594534684836912,0.02421838051451066,0.24574942970497154
156,0.0187,0.00174,870,0.6,b,0.0001473700041280803,1.1271347646920711e-06,0.13416626251290054,1.5196797131143377e-05,0.05583893154767438,1.2750973619462877e-05,0.0001559132239462768,0.4272325211713215,0.12341654526179933,0.009912081056186541,0.035535650582433194,0.41619204785036984
157,0.0187,0.00174,870,0.6,b,0.0001479441804038379,1.5361436547604002e-07,0.05409583917473378,1.159228414651689e-05,0.02150604846624549,3.177375233001125e-05,0.00015144080158563497,0.4260199550431719,0.02014203085328438,0.009989469516281897,0.035466626025847464,0.3975545771048911
158,0.0187,0.00174,870,0.6,b,0.00014808940536675477,8.851816487743699e-07,0.1350159825750242,1.6714689194991668e-05,0.04146713950533444,9.1276342146242e-06,0.0002327419083611275,0.43062499644874375,0.12559489813513408,0.010009090867579831,0.0354492314566368,0.30712763566559564
159,0.0187,0.00174,870,0.6,b,0.0003132260464539343,1.2961234619811778e-06,0.612413274336788,0.00023433334822575168,0.1655501746029192,3.197719401979414e-05,0.0003594020995534207,0.274755933045154,5.465434655232886,0.044777762770332956,0.024374733961666794,0.2703242753550721
160,0.0187,0.00174,870,0.6,b,0.00032260815076092496,1.0404727819388713e-06,0.6618640956212802,0.00022871907060961852,0.18225751218916317,4.553879492971327e-05,0.0003779909090855648,0.2798376581547647,6.574922326489755,0.047500406354272114,0.02401768534462433,0.27536999422529673
161,0.0187,0.00174,870,0.6,b,0.0003239022655434683,1.1145117390650434e-06,0.1809461172815824,2.1138353923433387e-05,0.04287377230652288,6.002070503682185e-06,0.0003260200868228937,0.2396052827781364,0.4933898021177545,0.0478822582737533,0.02396965735450834,0.23694220661172918
162,0.0187,0.00174,870,0.6,b,0.0003164182826758947,9.90462310055066e-07,0.6625431520217075,0.00019922539536500132,0.1832919186849437,4.059890387771228e-05,0.0003540381790622359,0.27967150564914867,6.462008935800309,0.04569511679549741,0.02425146808455082,0.2766490275020431
163,0.0187,0.00174,870,0.6,b,0.00031783066432893486,1.128517223144274e-06,0.18064149589057046,2.105267640370239e-05,0.04368005302822092,6.836097591907449e-06,0.0003207321984711765,0.24538609934251684,0.4825124055905702,0.04610396159295606,0.024197523531688123,0.24180519992306504
