id,sigma_N_per_m,mu_Pa_s,rho_kg_per_m3,Dn_mm,outcome,R_m,R_std_m,Vi_m_per_s,Vi_std_m_per_s,Vo_m_per_s,Vo_std_m_per_s,ho_m,cor,We,Bo,Oh,cor_from_velocities
276,0.0187,0.00174,870,0.4,b,0.00023316422096882,2.641323836290725e-07,0.05352408502460912,1.1343283595426512e-05,0.013937511387105132,2.964015237646676e-05,0.00023885352216016024,0.32675714,0.03107693,0.0248125,0.02825126,0.260397
277,0.0187,0.00174,870,0.4,b,0.00022761194575195783,3.5181259193634654e-07,0.6699960080551539,0.0003138554172555383,0.1770607852938297,2.7699322979831685e-05,0.00029574956470486413,0.26984716,4.75353973,0.02364486,0.02859376,0.2642714
278,0.0187,0.00174,870,0.4,b,0.0002287535170561015,4.4279613659011614e-07,0.17241149090764227,2.2785179572854988e-05,0.05812796580075019,6.092666323316023e-06,0.00023128051248284237,0.33961125,0.31635729,0.02388263,0.02852233,0.3371467
279,0.0187,0.00174,870,0.4,b,0.00022830261635365732,3.1334933534458423e-07,0.057194851777029154,9.233034165949281e-06,0.017719067312817173,2.514984029374376e-05,0.0002318831699798844,0.34271308,0.03474581,0.02378858,0.02855048,0.30980179
280,0.0187,0.00174,870,0.4,b,0.0002337857194592376,2.0569972913476465e-07,0.679874745584334,0.00024138946253832904,0.17933260223021358,3.100259283303162e-05,0.00029215158932772143,0.26842805,5.0275158,0.02494495,0.02821369,0.263773
281,0.0187,0.00174,870,0.4,b,0.00023550528247625463,1.8504855968059473e-07,0.17583757937328437,2.2936925424092055e-05,0.05803890741117937,5.9819131872434355e-06,0.00024198949236281734,0.33624633,0.33876746,0.02531325,0.02811049,0.33007112
282,0.0187,0.00174,870,0.4,b,0.00023533480544787324,2.606196759908776e-07,0.05789632531662329,9.996786456099677e-06,0.017053820246610712,2.3873048769626585e-05,0.0002402084195347823,0.33954504,0.03669998,0.02527662,0.02812067,0.2945579
283,0.0187,0.00174,870,0.4,b,0.00022546017006608188,8.151780411406662e-07,0.6596157826238055,0.0003406001507017131,0.17485803843589862,3.083824146155846e-05,0.00030015364847716926,0.27136933,4.56383099,0.02319991,0.02872989,0.26509074
284,0.0187,0.00174,870,0.4,b,0.00022427865541831523,2.12080861107161e-06,0.17053520536108666,2.3360898502367933e-05,0.057760017571088555,6.056704636204375e-06,0.0002270756844967212,0.34147277,0.30345457,0.02295739,0.02880546,0.3386985
285,0.0187,0.00174,870,0.4,b,0.00021983059722313896,4.58004129526803e-06,0.6690161619581657,0.00031798693512008984,0.17724386036934947,3.3644981670285545e-05,0.0002867190859473118,0.27040915,4.57761227,0.02205581,0.02909543,0.26493211
286,0.0187,0.00174,870,0.4,b,0.00023019356426477147,5.66349907487116e-07,0.17181330921048582,2.200339031199272e-05,0.058285174832519944,6.9256469742907065e-06,0.00023268993250461943,0.34167223,0.31614363,0.02418427,0.02843297,0.33923551
287,0.0187,0.00174,870,0.4,b,0.00022969602938928895,3.0778614653149647e-07,0.05644162831408346,8.90532336946572e-06,0.01580409952411628,1.7500317043154772e-05,0.00023737263992968318,0.35451873,0.03404319,0.02407984,0.02846375,0.28000786
288,0.0187,0.00174,870,0.4,b,0.00022650770243872026,6.10114555500862e-07,0.7004954403401383,0.0002619606714242112,0.18873224496789484,4.944062411442896e-05,0.0002753566786717307,0.27302745,5.17096081,0.02341599,0.02866338,0.2694268
289,0.0187,0.00174,870,0.4,b,0.00022756617225275452,7.614198662839042e-07,0.18277258355962678,2.8760205179056314e-05,0.06087681640442645,6.2921417388522234e-06,0.00023026242736403661,0.3354429,0.35367752,0.02363535,0.02859664,0.33307411
290,0.0187,0.00174,870,0.4,b,0.00022550242563043122,1.77754802248999e-06,0.0593146231734911,9.540152685250231e-06,0.01857933564971961,1.8419385204165336e-05,0.00022911243559543728,0.34387087,0.03691071,0.02320861,0.02872719,0.31323365
291,0.0187,0.00174,870,0.4,b,0.00022958964046672315,5.616622219455886e-07,0.7038529547970711,0.00030952505707296083,0.19025302241015166,4.854114759434186e-05,0.0002992499720554151,0.27535813,5.29168288,0.02405754,0.02847034,0.27030223
292,0.0187,0.00174,870,0.4,b,0.00023197735907464002,2.2560154941034436e-07,0.7237744910535975,0.0003142465334979793,0.1949278382778066,4.712025698035074e-05,0.00029386478367145874,0.27359062,5.65366135,0.02456054,0.02832344,0.26932123
293,0.0187,0.00174,870,0.4,b,0.00023378313419268859,2.608597463566272e-07,0.18941916836482905,3.768417600920432e-05,0.0610865367097885,5.505743063529458e-06,0.0002404355613091006,0.32808549,0.39024619,0.0249444,0.02821384,0.32249395
294,0.0187,0.00174,870,0.4,b,0.00023368193821218737,3.386994997423327e-07,0.060979801095171635,8.662763663122807e-06,0.019511257588958757,2.361202752465477e-05,0.00023592437520964738,0.33794643,0.04042731,0.02492281,0.02821995,0.31996263
295,0.0187,0.00174,870,0.4,b,0.00023324893530332226,2.861323353754661e-07,0.7187430012796558,0.0004452792196534572,0.19408225490621675,5.992068355485009e-05,0.0003167390846123121,0.27583907,5.60589003,0.02483053,0.02824613,0.27003011
296,0.0187,0.00174,870,0.4,b,0.0002350178204013039,3.4077695283917986e-07,0.18908173906668405,2.7520874003412785e-05,-0.028715000766140746,5.7432777533513115e-05,0.0003903608895805078,0.32910882,0.39091075,0.02520857,0.02813963,-0.15186554
297,0.0187,0.00174,870,0.4,b,0.00023480741050736708,3.259690634169126e-07,0.06041285962270547,7.915863771550518e-06,0.01926893546778615,2.0686027190979674e-05,0.00023528524342234398,0.32295588,0.03987018,0.02516345,0.02815224,0.3189542
298,0.0187,0.00174,870,0.4,b,0.00022408465658870885,7.361228039259063e-07,0.7375535534379318,0.00033883838599671397,0.20231531618386986,3.904319996994031e-05,0.00029148397732801787,0.27870172,5.67122511,0.02291769,0.02881793,0.27430593
299,0.0187,0.00174,870,0.4,b,0.00022477354086743723,8.437835209977739e-07,0.19513445481238234,4.4130919560270424e-05,0.06437494520601626,6.381792518088742e-06,0.00022590899608427033,0.33078599,0.39819037,0.02305882,0.02877373,0.32990045
300,0.0187,0.00174,870,0.4,b,0.00022412022940323143,3.9447887019347143e-07,0.061813832812304896,9.826391118779042e-06,0.019873720962915967,2.5593253973954067e-05,0.00022594488569378413,0.33576413,0.03984098,0.02292497,0.02881564,0.32150928
301,0.0187,0.00174,870,0.4,b,0.00023061408375177602,5.092231923204257e-07,0.7486347152415043,0.00032688352439367565,0.1994418984466244,3.44166038405849e-05,0.00042523714772792784,0.27890175,6.01316882,0.02427271,0.02840703,0.26640749
302,0.0187,0.00174,870,0.4,b,0.000231800641399168,6.163368437782727e-07,0.19789685769030435,3.659748723422952e-05,0.05432945386315089,5.804595060665699e-06,0.0002918191029922139,0.32471084,0.42234764,0.02452313,0.02833424,0.27453419
303,0.0187,0.00174,870,0.4,b,0.0002312424870730269,3.88090807693989e-07,0.06249812067535663,8.964455218488541e-06,0.020700714386042138,1.758370733167068e-05,0.00023128572318228472,0.33154907,0.04202224,0.02440517,0.02836841,0.33122139
304,0.0187,0.00174,870,0.4,b,0.00022681180974426052,5.414526026962278e-07,0.7423772523515408,0.0003955386537455512,0.2038428161017068,5.4388962858128015e-05,0.00028592245582101616,0.27838671,5.81557448,0.02347891,0.02864415,0.27458117
305,0.0187,0.00174,870,0.4,b,0.0002286057768305667,6.115438287572436e-07,0.19726149929713874,3.9207612480861167e-05,0.06289340986457001,5.577947121413738e-06,0.00023288520380282325,0.32219872,0.41385624,0.02385179,0.02853154,0.31883267
306,0.0187,0.00174,870,0.4,b,0.0002283170985902041,3.944258232950297e-07,0.06286451100274985,9.196987709797751e-06,0.020146493450399476,1.9150099262509075e-05,0.00022955638737492002,0.32993445,0.04197852,0.02379159,0.02854957,0.32047483
307,0.0187,0.00174,870,0.4,b,0.00023082524356772197,2.736846847632172e-07,0.7600127903811196,0.00032074689015412143,0.20769682562910796,4.755152945435637e-05,0.00029834852529734776,0.27744532,6.20301385,0.02431718,0.02839404,0.2732807
308,0.0187,0.00174,870,0.4,b,0.00023295503675998256,3.665677127539851e-07,0.20164565458034212,3.5655079979629036e-05,0.0647350752380654,5.984280444528745e-06,0.00023836380592791483,0.32507321,0.44068421,0.024768,0.02826394,0.32103382
309,0.0187,0.00174,870,0.4,b,0.00023140942315329508,1.79109452479983e-06,0.06368239743672803,7.307690574583599e-06,0.020389376208859857,3.142350827399002e-05,0.00023362674199537542,0.33650842,0.04366138,0.02444042,0.02835818,0.32017287
310,0.0187,0.00174,870,0.4,b,0.00022569616162204927,5.320687527722362e-07,0.771048131091817,0.00029265562354999935,0.19951860144713715,4.141370148504574e-05,0.000560102269005967,0.27927436,6.24258978,0.0232485,0.02871486,0.25876284
311,0.0187,0.00174,870,0.4,b,0.00022831965946422598,5.349592386378692e-07,0.2064465647423458,2.7344153797561452e-05,0.06650534529785022,4.250922025104303e-06,0.00022917200507032427,0.32275157,0.45272687,0.02379213,0.02854941,0.32214314
312,0.0187,0.00174,870,0.4,b,0.00022820110542470353,3.36095518720444e-07,0.06541653157957501,1.0045564598279956e-05,0.02133413632725251,1.9394816573060896e-05,0.00022824976693176007,0.32646947,0.0454329,0.02376743,0.02855683,0.3261276
313,0.0187,0.00174,870,0.4,b,0.00022369390362848995,6.321922752449455e-07,0.7701499028491137,0.000287857240850316,0.21406482927861462,3.767550569355717e-05,0.0002741671857682164,0.28093948,6.17280168,0.02283784,0.02884309,0.27795216
314,0.0187,0.00174,870,0.4,b,0.0002257417287935555,6.134299864057192e-07,0.2059543783389558,3.3456356340116864e-05,0.06629359389736482,4.405913527129379e-06,0.00022591348686349053,0.32200823,0.44548343,0.02325789,0.02871196,0.32188485
315,0.0187,0.00174,870,0.4,b,0.00022547686454281164,3.149028910287575e-07,0.06516578317004462,9.86064632334523e-06,0.021383863416856,1.5760997414129647e-05,0.00022775389984029863,0.34380205,0.04454704,0.02320335,0.02872882,0.32814558
316,0.0187,0.00174,870,0.4,b,0.00021974537121170979,8.731031736385843e-07,0.7607667876096877,0.0003162764369565024,0.21012553267506673,4.3560191900311596e-05,0.0002970727901759967,0.28090761,5.91698504,0.02203871,0.02910107,0.27620229
317,0.0187,0.00174,870,0.4,b,0.00021353242450017096,4.769989616383e-07,0.7657703277098751,0.000304350945765713,0.2121025876691191,4.7100896088410355e-05,0.0002985213174342002,0.28206585,5.82557162,0.02081011,0.0295214,0.27697938
318,0.0187,0.00174,870,0.4,b,0.00022799270265379983,5.040971030328534e-07,0.7973118550476893,0.0002845692146224189,0.22194299270853515,4.955961277728679e-05,0.00028728405580872506,0.28163185,6.74302913,0.02372403,0.02856988,0.27836409
319,0.0187,0.00174,870,0.4,b,0.00022749423601554396,2.468025192057e-07,0.21301346734547547,3.3299198850685105e-05,0.06820017794066893,4.507206429751177e-06,0.00023118153711325403,0.3226487,0.48024424,0.02362041,0.02860116,0.32016839
320,0.0187,0.00174,870,0.4,b,0.00022973807796016575,4.203735145738464e-07,0.06651305572066235,9.734391089704053e-06,0.020696441777423958,1.8250291009636015e-05,0.00023558026499847614,0.35033182,0.04728511,0.02408866,0.02846114,0.3111636
321,0.0187,0.00174,870,0.4,b,0.00022773542662809617,4.0366407930598115e-07,0.7970881817924121,0.00027967826928281447,0.22171878005931134,5.986305534590387e-05,0.00027633274013032965,0.28084553,6.73164153,0.02367052,0.02858601,0.27816092
322,0.0187,0.00174,870,0.4,b,0.00022979687574566215,5.121381498095634e-07,0.2131518312768777,3.946708578744011e-05,0.0661531190915016,5.613346666868018e-06,0.00023732869461872482,0.31555327,0.48573556,0.02410099,0.0284575,0.31035679
323,0.0187,0.00174,870,0.4,b,0.00022953933238859434,3.710215271022005e-07,0.06684657823859459,9.465563853086451e-06,0.021887582771079564,2.0178615076561446e-05,0.0002304847194577188,0.33370864,0.0477192,0.024047,0.02847346,0.32743011
324,0.0187,0.00174,870,0.4,b,0.00021001434405526373,4.81330756459e-07,0.7713153246081519,3.4723647996028e-05,0.21389143268345287,4.258564654009719e-05,0.00028101211313370734,0.28149744,5.81286885,0.02013004,0.02976764,0.27730738
325,0.0187,0.00174,870,0.4,b,0.00022211099526041775,9.63554113744288e-07,0.2068814715704577,5.5789875684896094e-05,-0.0367612547149738,8.283651095348977e-05,0.00037896072926894294,0.32167739,0.44227348,0.02251577,0.02894568,-0.17769235
326,0.0187,0.00174,870,0.4,b,0.00022011682998374676,2.00148663205e-07,0.0640285275731004,1.3113102926545026e-05,0.02182275437157068,3.18535986409653e-05,0.00022362546203929663,0.36463085,0.04198343,0.02211328,0.0290765,0.34082861
327,0.0187,0.00174,870,0.4,b,0.000223832699031649,7.33469664355236e-07,0.7805905939172503,0.00034720005481958364,0.21724777798862235,4.409556614959505e-05,0.00029326455940313764,0.2823,6.34523637,0.02286619,0.02883414,0.27831206
328,0.0187,0.00174,870,0.4,b,0.00022519111042331306,9.499546807175812e-07,0.7744461325943677,0.00032438821809819114,0.1792911405007648,7.431888033984815e-05,0.0009598425198405229,0.27861944,6.28364034,0.02314457,0.02874704,0.23150886
329,0.0187,0.00174,870,0.4,b,0.00022675804091807513,8.686594079966885e-07,0.20800159483154396,5.1636834458513334e-05,0.06305426808424136,6.041695340875029e-06,0.0002414762191859127,0.31395909,0.45642946,0.02346778,0.02864755,0.3031432
330,0.0187,0.00174,870,0.4,b,0.00022635888591857991,4.656940519597716e-07,0.0646266200073826,1.0787020534883501e-05,0.017387642368604815,2.6830459708543983e-05,0.00023650129661014328,0.34645585,0.04398434,0.02338524,0.0286728,0.26904768
331,0.0187,0.00174,870,0.4,b,0.00023251831922232257,2.5428476335607665e-07,0.8196548953850246,0.00038360119587745284,0.2277939626889039,4.922485817499195e-05,0.0002930732947451048,0.28107807,7.26769838,0.02467522,0.02829047,0.27791448
332,0.0187,0.00174,870,0.4,b,0.00023059204796437884,2.258728081765702e-07,0.8208252046100663,0.00030748081927490264,0.22818121824075563,4.756145660971414e-05,0.00028337423855427396,0.28074097,7.22808648,0.02426807,0.02840839,0.27799002
333,0.0187,0.00174,870,0.4,b,0.000224315349517805,7.439305663703427e-07,0.7967188074694295,0.00032976766851035906,0.22235770772498875,4.791735064157067e-05,0.00027116803942922813,0.28167433,6.62440349,0.0229649,0.02880311,0.27909183
334,0.0187,0.00174,870,0.4,b,0.0002204571068316408,1.0064669439230574e-06,0.7831246789587313,0.0003523972424071701,0.21792282807511176,4.4208651220445713e-05,0.00027345709066662276,0.28130355,6.2901872,0.0221817,0.02905406,0.27827348
335,0.0187,0.00174,870,0.4,b,0.00022800067389751162,2.5702648421318165e-07,0.8184508593685523,0.00023998915234775054,0.22790219592856267,4.262736337633575e-05,0.0002787216460126844,0.28111048,7.10557119,0.02372569,0.02856938,0.27845556
336,0.0187,0.00174,870,0.4,b,0.00023085092362778146,2.2363410861396672e-07,0.21965383436587826,5.104797082738656e-05,0.06856517167677668,4.54663424450379e-06,0.00023817137845867487,0.31688347,0.51818739,0.02432259,0.02839246,0.31215103
337,0.0187,0.00174,870,0.4,b,0.000230960721102581,3.107717383933722e-07,0.06827777425366492,9.66109096631607e-06,0.022777005951861155,1.9054668081851885e-05,0.0002355882489093491,0.36160752,0.0500927,0.02434574,0.02838571,0.33359327
