tt,zc,vv,ff,rcn,b2,b3,b4,a1,a2,a3
1.16896163759376,0.167986123594947,-0.282548869467165,7.80430433874519e-05,0.973553989677107,-0.302407733065512,0.0455260279778558,0.00332727697503691,-0.00453314692980424,-0.006091639584703,-0.00863571489810561
1.2176683724935,0.155262414804629,-0.249536909805208,7.68631654178187e-05,0.969409143987255,-0.29725280769879,0.04294531665908,0.00322953884993456,-0.00474857369423872,-0.0064574100275245,-0.00924398852167773
1.26637510739324,0.144195869308033,-0.217036684110589,7.56989348709867e-05,0.964721997801618,-0.289320977101258,0.0370608165350501,0.00458462505351622,-0.00496597839195035,-0.00683144373245697,-0.00987016538351481
1.31508184229298,0.134759332213401,-0.18506901915647,7.44873219593781e-05,0.959416680451603,-0.278824744934421,0.0284165637217721,0.00690424526591239,-0.00518532487101689,-0.00721357628546634,-0.0105138145648622
1.36378857719272,0.126925707963596,-0.153632751274462,7.32783564747002e-05,0.953366898062406,-0.266022555130613,0.0176892486496482,0.00962768438525665,-0.00540657702625096,-0.00760364312524868,-0.0111745031248693
1.41249531209246,0.12067015158812,-0.122683742041967,7.21698089867868e-05,0.946409737422136,-0.251217023742747,0.00563116348569866,0.0122142003611804,-0.00562970145602094,-0.00800149083738435,-0.011851821733678
1.4612020469922,0.115970378405129,-0.0921717791719207,7.11754979618773e-05,0.938360774892632,-0.234749821898603,-0.0069882452821843,0.0142138255968578,-0.00585466783855427,-0.00840697876836482,-0.0125453884103772
1.50990878189194,0.112804562091959,-0.0620878733408712,7.02016382761891e-05,0.92901642057521,-0.216991699876412,-0.0194356422705259,0.0153114508368363,-0.00608144638489353,-0.00881996822363769,-0.0132548241483807
1.55861551679168,0.111147164357746,-0.0325048235329402,6.9062155812843e-05,0.918165909517904,-0.198328143226088,-0.0310585529861574,0.0153416150177037,-0.00631000278463769,-0.00924030101736602,-0.0139797044327703
1.60732225169142,0.110965115517622,-0.00357033517087578,6.75866331878658e-05,0.905604254631864,-0.179144553352547,-0.0413189356702841,0.0142816907557864,-0.00654029357682272,-0.00966777982223198,-0.0147195148119553
1.65602898659116,0.112216841594689,0.0245488058821045,6.57316610654319e-05,0.891169549039156,-0.159815892053987,-0.049817365125569,0.0122282439611792,-0.00677226497128446,-0.010102163171826,-0.0154736396393118
1.7047357214909,0.114853164690393,0.0517034717935883,6.35374126999515e-05,0.874750095169835,-0.140699366266447,-0.0563055751820723,0.00936452331158443,-0.00700585394053194,-0.0105431701012785,-0.0162413726196453
1.75344245639064,0.118814291032767,0.077685464443841,6.08694990586461e-05,0.856289901791194,-0.122119386250295,-0.0606807417465181,0.00592168639626273,-0.0072409845686316,-0.0109904646333399,-0.017021881682517
1.80214919129038,0.124027565169701,0.102242541033929,5.76277154175344e-05,0.835803790233482,-0.104353771841458,-0.0629671661174498,0.00214690657537447,-0.00747756532842112,-0.0114436441986464,-0.0178141827315847
1.85085592619012,0.130415102052957,0.125272138916571,5.41525945845385e-05,0.81346720659992,-0.0876413765363029,-0.0633061437008342,-0.00172110692971595,-0.00771549833387624,-0.0119022789399263,-0.0186172287039192
1.89956266108986,0.137895304566922,0.146701457162575,5.05118465487166e-05,0.789587573266632,-0.0721785215998567,-0.061929808470777,-0.00546971680547408,-0.00795468117966104,-0.0123659195190064,-0.0194299272589114
1.9482693959896,0.146381714643261,0.166435162945647,4.66542096691334e-05,0.764550376409917,-0.0581108159480125,-0.0591252316464381,-0.00891817409550832,-0.00819500554793862,-0.0128340911837872,-0.0202511273171985
1.99697613088934,0.155794692258895,0.184606971519045,4.31007843376562e-05,0.738859885574714,-0.0455567544893957,-0.0552318491214297,-0.0119325225754846,-0.00843637136888232,-0.013306353966524,-0.0210797556289736
2.04568286578907,0.166058524793264,0.201293906956879,3.97225941589015e-05,0.712893979714469,-0.0345995736890499,-0.0506055731557253,-0.0144232351495625,-0.00867868331660335,-0.0137822877973083,-0.0219147830874079
2.09438960068881,0.177099650880756,0.216538159592188,3.64403899369914e-05,0.686868822361487,-0.0252828310469111,-0.0455884390274517,-0.0163395019935385,-0.00892184865663267,-0.0142614833677585,-0.0227552041014907
2.14309633558855,0.188852300569677,0.230492534348808,3.35058275981514e-05,0.660941069510243,-0.0176260160846974,-0.0405076628817795,-0.0176811439898016,-0.0091657840866948,-0.0147435712520734,-0.0236001028408961
2.19180307048829,0.201251994617047,0.243182344558636,3.06288548588257e-05,0.6350238666368,-0.0116098232065291,-0.0356375800118431,-0.0184755192037695,-0.00941040785550867,-0.0152281884117444,-0.0244485773370319
2.24050980538803,0.214235054146937,0.254623286990915,2.77875933667626e-05,0.608978175317729,-0.00717736566002097,-0.0311868259572648,-0.0187683847411195,-0.00965563916984709,-0.015714975700195,-0.025299733959856
2.28921654028777,0.227741999093294,0.264897708550802,2.51336768401276e-05,0.582729586140749,-0.00424639807311836,-0.0273060980798456,-0.0186298978289741,-0.00990140231753077,-0.0162035954336271,-0.0261527274786706
2.33792327518751,0.241715547934585,0.274048727012778,2.25778562644497e-05,0.556155063491058,-0.00270716337515961,-0.0240781630879634,-0.0181369400856796,-0.0101476242432095,-0.016693721101478,-0.0270067378226438
2.38663001008725,0.256099758744397,0.282102614467154,2.00818065306965e-05,0.529352199609967,-0.00242353795338108,-0.0215164667838568,-0.0173599798158888,-0.0103942335080886,-0.0171850329626719,-0.0278609601998499
2.43533674498699,0.270843399555732,0.289151742465064,1.7795908532714e-05,0.502777401358697,-0.00324635326085592,-0.0195865787619113,-0.0163729716840433,-0.0106411643788224,-0.017677235471187,-0.0287146448251992
2.48404347988673,0.285900843521815,0.295306038418662,1.57601030815066e-05,0.476882788192521,-0.00501984788042735,-0.0182190254524062,-0.0152513053916376,-0.0108883579143961,-0.0181700619236289,-0.0295671076005221
2.53275021478647,0.301230695640241,0.300648497104377,1.39131165481649e-05,0.451872305029472,-0.00758163182797381,-0.0173132453807435,-0.0140588124782474,-0.0111357603017051,-0.0186632673940402,-0.0304177141605966
2.58145694968621,0.316796026775497,0.305266702939807,1.22653906871675e-05,0.427744404821533,-0.0107674694619846,-0.0167513354961557,-0.01284902213266,-0.011383323140594,-0.019156629968703,-0.0312658827937752
2.63016368458595,0.332564187323228,0.309244585932956,1.08086114612426e-05,0.404459673787723,-0.014414712840318,-0.0164098430015427,-0.011665727530537,-0.011631003218964,-0.0196499498085993,-0.0321110824158351
2.67887041948569,0.348506241510701,0.312654981613262,9.51753815612264e-06,0.381957573029217,-0.0183643532128037,-0.0161685429138565,-0.0105413785688524,-0.0118787618275829,-0.0201430462491507,-0.0329528260667199
2.72757715438543,0.364596114495757,0.315553998446136,8.35411553189966e-06,0.360357339616971,-0.0224618937789986,-0.0159160301680204,-0.00949373832142617,-0.0121265637263638,-0.0206357534126091,-0.0337906610095328
2.77628388928517,0.38081074515216,0.318000741317704,7.32516065515042e-06,0.34004084761093,-0.0265610271334894,-0.015559134781748,-0.0085310986582573,-0.0123743773303783,-0.0211279210128158,-0.0346241706340997
2.82499062418491,0.397130386792613,0.320060212882736,6.44409136180976e-06,0.320970712546353,-0.030527461836989,-0.0150309931603886,-0.00765865147122152,-0.0126221750752096,-0.021619415922138,-0.0354529780871573
2.87369735908465,0.413538002000115,0.321785547250877,5.68390588208153e-06,0.302940419935742,-0.03423965837036,-0.0142917669568933,-0.0068775662300044,-0.012869932683405,-0.0221101190570102,-0.0362767392438782
2.92240409398439,0.43001854379748,0.323215780854665,5.01253101509358e-06,0.285725557499707,-0.037588856787262,-0.0133264255748392,-0.00618282318248673,-0.0131176282929609,-0.0225999216740459,-0.0370951343297208
2.97111082888414,0.446558730528504,0.324385535104484,4.41992227683319e-06,0.269038748260652,-0.0404803303951886,-0.0121435738292629,-0.00556550237194045,-0.0133652421846322,-0.023088724215836,-0.0379078653407358
3.01981756378387,0.463146630607593,0.325321287535533,3.88755178197633e-06,0.252921312247771,-0.0428336910764833,-0.0107714017817245,-0.00501296371619891,-0.0136127562785361,-0.023576434172723,-0.0387146512180618
3.06852429868362,0.47977170249315,0.326050299639708,3.41720308681158e-06,0.237221540868287,-0.044584304104654,-0.00925509695739127,-0.00451281060699691,-0.013860154182917,-0.0240629662959636,-0.0395152283715449
3.11723103358336,0.496424569442744,0.326595415415448,2.99882608493045e-06,0.221600235752978,-0.0456835279041682,-0.00765169150585539,-0.00405378057936907,-0.0141074209211535,-0.024548241439612,-0.0403093480786016
3.1659377684831,0.513096769447548,0.326974574584658,2.62126320440501e-06,0.20594926804828,-0.046098551759595,-0.00602426125922281,-0.00362586801292231,-0.0143545426286309,-0.0250321852735436,-0.041096773587258
3.21464450338284,0.529780691772346,0.327204472294125,2.28168294984246e-06,0.190048691751447,-0.0458125099284411,-0.0044371592110216,-0.00322158150843198,-0.0146015064759527,-0.0255147279602998,-0.0418772794113286
3.26335123828258,0.546469420922823,0.327298743582949,1.97312336234446e-06,0.173286487862273,-0.04482399322005,-0.00295090822049275,-0.00283569291669303,-0.0148483004798363,-0.0259958033530747,-0.0426506495334807
3.31205797318232,0.563156515475492,0.327266685910714,1.68571614530866e-06,0.15533696621974,-0.043146068574383,-0.00161728761069806,-0.00246401366787349,-0.0150949132349799,-0.026475347856806,-0.0434166748398957
3.36076470808206,0.57983594508251,0.327116361277926,1.41665054297348e-06,0.136916700684643,-0.0408055390913035,-0.000476250371944466,-0.00210344998140271,-0.0153413338377998,-0.0269533001064877,-0.0441751524146326
3.4094714429818,0.596502150857842,0.326857015976253,1.16862090051704e-06,0.11879290158825,-0.0378423516569889,0.00044543981024775,-0.00175289120353348,-0.0155875519598241,-0.0274296012829206,-0.0449258862841984
3.45817817788154,0.613150074206662,0.326498461698503,9.42913545054017e-07,0.100786548384391,-0.0343086832197783,0.00113473479152726,-0.00141355791160026,-0.0158335578828067,-0.0279041952653866,-0.0456686877906265
3.50688491278128,0.62977503621441,0.326048144720142,7.34146986781268e-07,0.0867563959176781,-0.0302673389678134,0.00159280842287097,-0.00108758921250514,-0.0160793423525479,-0.0283770280117518,-0.0464033742043144
3.55559164768102,0.646373076460059,0.32552015610995,5.57438594979686e-07,0.0662040612049676,-0.0257914671614996,0.00183171132093243,-0.000781074562640155,-0.0163248969900407,-0.0288480493132755,-0.0471297727446735
3.60429838258076,0.662939951925799,0.324908953590199,3.68121133926821e-07,0.0489954124108366,-0.0209597692347939,0.00187898808484326,-0.000493208498790331,-0.0165702130771419,-0.0293172076227682,-0.0478477088228949
3.6530051174805,0.679472166256013,0.324229180672413,2.12118685199188e-07,0.0489954124108366,-0.0158582523158935,0.00176816142401936,-0.000227573958165321,-0.0168152828053281,-0.029784455378759,-0.0485570181925039
3.70171185238024,0.695966415928361,0.323484619195712,6.47201848303165e-08,0.0489954124108366,-0.0105766945804387,0.00153955806191132,1.43559629368674e-05,-0.0170600986039174,-0.0302497461450716,-0.0492575404541508
3.75041858727998,0.712421250422136,0.3227116101602,0,0.0489954124108366,-0.00521232397239819,0.00122631175614173,0.000216101911991592,-0.0173046551541995,-0.030713043196769,-0.0499491386360747
3.79912532217972,0.72883666973734,0.321938601124688,0,0,0.000133458956871497,0.00085531233091884,0.000354964701890705,-0.017548948901152,-0.0311743174401958,-0.0506316944694896
3.84783205707946,0.745212673873973,0.321165592089177,0,0,0.00536177988568596,0.000455274795387538,0.000420870267181413,-0.0177929762937369,-0.0316335399146941,-0.0513050913199589
3.8965387919792,0.761549262832034,0.320392583053665,0,0,0.0103780725353298,5.47117899059389e-05,0.000415830086769868,-0.0180367337849522,-0.0320906817944262,-0.0519692142072926
3.94524552687894,0.777846436611524,0.319619574018153,0,0,0.0150937421552218,-0.000319931168729724,0.000351747554776412,-0.0182802178318834,-0.0325457143901828,-0.0526239498251437
3.99395226177868,0.794104195212443,0.318846564982642,0,0,0.0194276823332593,-0.000645866711176198,0.000247146565511424,-0.018523424895755,-0.0329986091511775,-0.0532691865603093
4.04265899667842,0.81032253863479,0.31807355594713,0,0,0.0233076201182006,-0.000905198199269469,0.00012346287230857,-0.0187663514419819,-0.0334493376668434,-0.0539048145117176
4.09136573157816,0.826501466878565,0.317300546911618,0,0,0.0266712681672958,-0.00108573903438701,1.50076939087796e-06,-0.0190089939402209,-0.0338978716686105,-0.054530725509115
4.1400724664779,0.84264097994377,0.316527537876107,0,0,0.029467266673887,-0.00118139514217215,-0.000101461080408114,-0.0192513488644216,-0.0343441830316774,-0.0551468131314378
4.18877920137764,0.858741077830402,0.315754528840595,0,0,0.0316559021045324,-0.00119211761840544,-0.000173600489602015,-0.0194934126928782,-0.0347882437767766,-0.0557529727248701
4.23748593627738,0.874801760538464,0.314981519805083,0,0,0.0332095941989618,-0.00112346034270402,-0.000209393200982814,-0.0197351819082803,-0.035230026071924,-0.0563491014205832
4.28619267117712,0.890823028067954,0.314208510769572,0,0,0.0341131471734922,-0.00098580084317663,-0.000209415514022319,-0.0199766529977641,-0.0356695022341669,-0.056935098152157
4.33489940607686,0.906804880418872,0.31343550173406,0,0,0.0343637655347163,-0.000793300598812863,-0.00017930016073265,-0.0202178224529633,-0.0361066447313151,-0.0575108636726754
4.3836061409766,0.922747317591219,0.312662492698549,0,0,0.0339708392728425,-0.000562692527746141,-0.000128129089791512,-0.0204586867700604,-0.0365414261836629,-0.0580763005714986
4.43231287587634,0.938650339584995,0.311889483663037,0,0,0.0329555073842277,-0.00031198833394033,-6.65831516892993e-05,-0.0206992424498371,-0.0369738193657041,-0.0586313132906998
4.48101961077608,0.954513946400199,0.311116474627525,0,0,0.0313500125966932,-5.91968369044209e-05,-5.15324104663714e-06,-0.0209394859977257,-0.0374037972078384,-0.0591758081411787
4.52972634567582,0.970338138036832,0.310343465592014,0,0,0.0291968637717962,0.000178863032115129,4.7339376734354e-05,-0.0211794139238594,-0.0378313327980636,-0.0597096933184325
4.57843308057556,0.986122914494893,0.309570456556502,0,0,0.0265478256754212,0.000387583293418231,8.47493494588704e-05,-0.0214190227431232,-0.0382563993836568,-0.0602328789179948
4.6271398154753,1.00186827577438,0.30879744752099,0,0,0.0234627585903824,0.000555366960910822,0.000104069918749141,-0.0216583089752044,-0.0386789703728514,-0.0607452769505318
4.67584655037504,1.0175742218753,0.308024438485479,0,0,0.0200083325498466,0.000674170613067906,0.000105371068696683,-0.0218972691446434,-0.0390990193364961,-0.0612468013565973
4.72455328527478,1.03324075279765,0.307251429449967,0,0,0.0162566427657788,0.000739772703340585,9.13046873982719e-05,-0.0221358997808839,-0.0395165200097071,-0.0617373680210435
4.77326002017452,1.04886786854142,0.306478420414455,0,0,0.0122837540898815,0.000751770138555255,6.63161678294082e-05,-0.0223741974183233,-0.0399314462935127,-0.0622168947870809
4.82196675507426,1.06445556910663,0.305705411378944,0,0,0.00816820306364396,0.000713323381171501,3.57221489770483e-05,-0.0226121585963633,-0.0403437722564813,-0.0626853014699933
4.870673489974,1.08000385449326,0.304932402343432,0,0,0.00398948628748165,0.000630685416490894,4.80819780258215e-06,-0.0228497798594597,-0.0407534721363389,-0.0631425098704993
4.91938022487374,1.09551272470132,0.30415939330792,0,0,-0.000173436524954489,0.000512561569318662,-2.1926869449715e-05,-0.023087057757173,-0.0411605203415823,-0.0635884437877574
4.96808695977348,1.11098217973081,0.303386384272409,0,0,-0.00424359732405869,0.000369354842300013,-4.12943914381174e-05,-0.0233239888442184,-0.0415648914530733,-0.0640230290320171
5.01679369467322,1.12641221958173,0.302613375236897,0,0,-0.00814740622413793,0.000212354964963791,-5.166827229816e-05,-0.0235605696805157,-0.0419665602256249,-0.0644461934369116
5.06550042957296,1.14180284425408,0.301840366201386,0,0,-0.0118159454463947,5.29287640172439e-05,-5.29727750602749e-05,-0.023796796831239,-0.0423655015895808,-0.0648578668713889
