source,series,t_over_tsigma,rc_over_R,We,Oh,Bo
km_model,km_model,3.4713918278163054,0.21371683544240253,0.0231,0.03,0.02
km_model,km_model,3.471757793060343,0.21372234741255966,0.0231,0.03,0.02
km_model,km_model,3.472123758304381,0.21372785661089133,0.0231,0.03,0.02
km_model,km_model,3.4724897235484184,0.21373336269902285,0.0231,0.03,0.02
km_model,km_model,3.4728556887924564,0.21373886534607014,0.0231,0.03,0.02
km_model,km_model,3.473221654036494,0.2116181316734621,0.0231,0.03,0.02
km_model,km_model,3.473587619280532,0.21162361795326942,0.0231,0.03,0.02
km_model,km_model,3.4739535845245695,0.21162909947681838,0.0231,0.03,0.02
km_model,km_model,3.474319549768607,0.21163457595612348,0.0231,0.03,0.02
km_model,km_model,3.474685515012645,0.21164004711365592,0.0231,0.03,0.02
km_model,km_model,3.4750514802566825,0.21164551268251672,0.0231,0.03,0.02
km_model,km_model,3.4754174455007205,0.21165097240655015,0.0231,0.03,0.02
km_model,km_model,3.475783410744758,0.2116564260404042,0.0231,0.03,0.02
km_model,km_model,3.476149375988796,0.21166187334954092,0.0231,0.03,0.02
km_model,km_model,3.4765153412328336,0.21166731411020398,0.0231,0.03,0.02
km_model,km_model,3.4768813064768715,0.21167274810934592,0.0231,0.03,0.02
km_model,km_model,3.477247271720909,0.21167817514452136,0.0231,0.03,0.02
km_model,km_model,3.477613236964947,0.21168359502374898,0.0231,0.03,0.02
km_model,km_model,3.4779792022089846,0.21168900756534614,0.0231,0.03,0.02
km_model,km_model,3.4783451674530226,0.21169441259774122,0.0231,0.03,0.02
km_model,km_model,3.47871113269706,0.2116998099592645,0.0231,0.03,0.02
km_model,km_model,3.4790770979410977,0.21170519949792313,0.0231,0.03,0.02
km_model,km_model,3.4794430631851356,0.21171058107116142,0.0231,0.03,0.02
km_model,km_model,3.479809028429173,0.21171595454560918,0.0231,0.03,0.02
km_model,km_model,3.480174993673211,0.20959380041029071,0.0231,0.03,0.02
km_model,km_model,3.4805409589172487,0.2095991474827429,0.0231,0.03,0.02
km_model,km_model,3.4809069241612867,0.20960448594854997,0.0231,0.03,0.02
km_model,km_model,3.481272889405324,0.209609815718261,0.0231,0.03,0.02
km_model,km_model,3.481638854649362,0.20961513671006526,0.0231,0.03,0.02
km_model,km_model,3.4820048198933997,0.209620448849502,0.0231,0.03,0.02
km_model,km_model,3.4823707851374377,0.2096257520691731,0.0231,0.03,0.02
km_model,km_model,3.4827367503814752,0.20963104630845814,0.0231,0.03,0.02
km_model,km_model,3.4831027156255128,0.20963633151323405,0.0231,0.03,0.02
km_model,km_model,3.4834686808695507,0.2096416076355997,0.0231,0.03,0.02
km_model,km_model,3.4838346461135883,0.20964687463360512,0.0231,0.03,0.02
km_model,km_model,3.4842006113576263,0.20965213247098763,0.0231,0.03,0.02
km_model,km_model,3.484566576601664,0.2096573811169132,0.0231,0.03,0.02
